feature,importance
pagerank,0.6015081336975282
n_triangles,0.12418883119856663
avg_neighbor_degree,0.0962958263266039
betweenness,0.08810181309226155
degree,0.08101255951931542
clustering_coeff,0.006907898465399818
closeness,0.001984937700324334
is_bridge,2.4273542228191413e-17
