researcher,degree,betweenness,closeness,pagerank,classe
Huang Y.,1.0,0.0412972730333295,0.9197080291970804,0.0120373580641309,0
Lin M.,1.0,0.0412972730333295,0.9197080291970804,0.0120373580641309,0
Wang X.,0.293103448275862,0.0383795309168443,0.5779816513761468,0.009678092762038,0
Heath N.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Hardy M.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Hao Y.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Hofmann A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Solaiman I.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Sinha A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Sharma D.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Sania J.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Sahoo S.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Jernite Y.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Ji J.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Loehr A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Jiang Y.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Lamparth M.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Koyejo S.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Kornilova A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Kochenderfer M.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Klyman K.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Khire I.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Kennedy W.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Habba E.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Biderman S.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Chim J.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Choshen L.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Dhar R.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Friedrich F.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Ghosh A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Gohar U.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Batzner J.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Akhtar M.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Moniz N.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Mishra A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Mickel J.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Manheim D.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Manghnani K.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Long Y.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Reuel A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Nelaturu S.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Talat Z.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Yehudai A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Yadav S.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Saha A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Rismani S.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
